filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_medium	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
1057524681_old.mp4	29.8997714694	25.3642642613	92.7826949232	50.004957091	133.921805153	62.326272406	34.5767198005	5.17097700914	36.4238898299	116.092564876	53.9538458126
1171533178_old.mp4	41.957580455	45.9046556312	128.839130693	76.018024304	187.778769942	92.6350158493	36.3402382374	6.33919419604	66.8268648076	177.637228009	75.2983809762
1014679136_old.mp4	15.1926352535	14.7353491839	102.938833548	51.2835873791	173.959326787	74.5596393971	33.0561597549	3.49816461692	52.1224448378	181.836519524	98.9208033966
658190186_old.mp4	29.1219471009	28.0331366332	111.598081153	55.4285506134	165.170014672	74.6446773392	42.0656750088	8.43273266241	40.1382444017	136.626460716	63.3841696554
630217362_old.mp4	31.6583870544	31.6717490452	120.230095775	59.7312771544	185.942744109	75.4180162323	37.7838744186	4.99597501961	36.5096765716	137.546158997	65.7478790148
664902379_old.mp4	29.914335901	24.6338850053	127.932148331	58.2102991104	198.661766452	71.5850644679	37.5896092808	6.56906311103	50.9596230812	159.012888983	77.5860073692
1051267389_old.mp4	19.0081920191	18.46557433	117.548862974	53.3269608311	187.194531508	78.1163174102	44.2884626729	6.26849910065	44.729475032	157.737978774	89.4630584655
361970560_old.mp4	20.9384156968	18.086411312	111.535702872	50.7712355617	173.467081145	69.626596786	37.5091453732	6.52330458455	44.6857053306	139.123780051	74.4771609892
920273115_old.mp4	13.3080860147	13.8805235916	109.12656095	51.5046609406	202.803581605	72.7804634956	33.3120816804	0.552986052953	61.0597714043	185.66236418	94.17021009
535539246_old.mp4	24.7908896793	24.1313983646	108.177292969	52.5949913407	156.2022785	69.1085728276	28.3190826473	4.02638501857	40.8074813271	123.215155967	55.6739694244
1018992431_old.mp4	12.4426411947	11.4288130555	80.4539467685	43.8481313413	143.163732705	64.7702101075	23.5141236724	-0.682680335804	47.7051847032	173.325092269	98.4812495625
573903512_old.mp4	26.362087034	25.1324623152	111.06149308	54.7816030402	171.575903408	71.1999710866	42.4639527571	9.71392281509	41.3059296532	129.047817792	61.7735134961
865389383_old.mp4	17.4945337269	18.4399037834	152.666932596	52.9087061962	241.59535872	76.3663391835	41.1682695962	2.63772648697	57.0213080032	191.043850936	105.485838144
1029351615_old.mp4	15.348287496	15.5386251859	99.5680634454	49.1392563887	184.942219383	76.7607081991	41.4052610847	2.90434434716	41.2468597153	188.855169896	109.126918921
399494504_old.mp4	24.7876764892	20.2238471497	106.311217324	51.8136729967	170.176110791	72.2011831528	34.6874432253	6.65120211718	49.497796476	150.818179136	82.0734169263
1161618652_old.mp4	24.3418309549	24.6546650825	90.9888425679	46.7715345109	132.145942941	58.8422256156	36.5186046125	6.60989652947	35.9731949172	95.4958441195	41.0310621907
889439263_old.mp4	14.2388880658	13.4268327109	107.632057729	49.729762174	187.225850716	73.9061245435	35.6431507467	-0.28237334429	40.7579334501	174.554530304	103.756608869
884731639_old.mp4	12.2576499207	10.2244233306	93.8098240954	40.2993776287	169.066093804	63.4289668363	24.4865340321	-0.172158016874	44.2916796994	177.435366202	109.0526678
504551105_old.mp4	22.0878923195	21.7434463895	121.833251593	49.5190724429	183.93504245	70.1483626316	38.3932437671	5.3882158026	42.1637175032	150.390645363	86.08522413
560597688_old.mp4	19.0503624817	17.0912922977	110.658707966	49.9109866666	187.934926379	71.0917286293	38.2356694706	4.72829518264	39.3060876753	155.157370532	91.8128196413
1027486156_old.mp4	22.2364412355	21.8024784408	99.7959264872	54.9012668771	150.889597096	72.0826816753	36.8370842422	8.14966460173	51.2500364564	133.690850814	53.4578052985
708232346_old.mp4	29.2315277505	26.9953470631	103.987774521	52.2537685135	159.282704458	67.1762316302	30.3894814809	1.75278593174	41.3721859309	141.049232738	67.0822867402
590546720_old.mp4	36.3179237652	31.7617740025	123.721827701	62.3473244332	184.125524629	76.030381129	30.7679821039	1.80568865131	53.8917618547	162.250152425	83.9097360375
650279042_old.mp4	23.2200083042	21.5365887559	119.439243317	59.7222126592	221.360555431	85.0260594638	45.2506653538	6.34818930304	68.1923538822	219.114174119	116.630417003
1014584164_old.mp4	13.5662800998	16.7086135524	62.5020357755	54.818248663	80.4646258951	43.1368772942	15.434168715	-1.31616683642	11.2522407233	112.000326162	49.2845593146
VID_20160725_091502.mp4	21.8000341677	20.1742714554	102.821503162	52.8290760389	163.717251166	73.1859035379	49.7078959347	3.9173088763	39.1642042347	147.022108231	71.0650904247
731194157_old.mp4	20.1136759477	18.7592348224	90.2422111405	47.9311393014	148.150707178	66.0226609276	27.8093479777	2.46436773836	40.023079733	152.264117367	79.5172165202
686529697_old.mp4	24.742579696	24.152278629	92.4968158087	46.7814191719	132.34521545	55.7549253769	31.2610665775	4.70707318627	38.241951117	109.416848922	49.6250438053
555410317_old.mp4	22.8297736918	25.4081555876	75.8168841173	42.4644325302	140.724962757	61.1954759275	33.2257788396	5.89260355174	38.198660332	170.425877867	104.630571789
1125180655_old.mp4	34.6679743971	32.5187428352	111.004212701	50.0637985296	179.029731872	64.9545631785	37.9716960086	6.12599883872	36.9069358792	130.855968872	67.7078587008
