filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_medium	hevc_qsv_hw_faster	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_fast	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
402134623_old.mp4	1.72464871188	6.00089491085	-50.4824288369	-45.0052558222	-43.6147871141	-50.568449142	-44.0036773255	-37.9271303191	-35.8164493014	-32.4801280955	-9.00633698797	-24.838339967	-23.9757145423
552802455_old.mp4	-11.2384602465	-0.213853219643	-43.3774969525	-35.6532422401	-35.1701019053	-43.0568631255	-34.238529645	-41.9602008649	-40.7254840836	-35.0551531711	-18.8432403527	-33.1637782317	-22.1652608805
548571447_old.mp4	-10.7015326571	1.16949143133	-49.9949946271	-43.9579363999	-42.7771887424	-49.9746321142	-42.9599808181	-48.0308944771	-45.9735847714	-42.1798502829	-15.7461249228	-39.1746316504	-35.8945231668
409279508_old.mp4	-11.23198544	1.58603680471	-61.6073971986	-56.184828811	-55.4817270321	-62.083098375	-55.4986905241	-56.4226453404	-53.5949371775	-50.1166101355	-20.0819942952	-44.8857881948	-44.5361896279
368705245_old.mp4	-8.64451613499	3.06646698909	-41.661947051	-36.2421069038	-35.143272296	-40.9797277319	-33.9777101234	-32.5923421043	-31.6207117497	-27.9440580902	-17.9420419562	-30.6008374839	-21.1118346029
495723627_old.mp4	-10.8340428271	-3.67919371121	-39.8932799579	-32.9520266262	-32.2299418609	-40.3877749829	-32.8210434512	-31.6979430684	-31.5994863072	-25.3938854853	-19.5804999493	-31.2816368254	-22.327631609
391269500_old.mp4	-11.7359934478	-2.58941374125	-59.4265607907	-50.3971275017	-48.6277708527	-57.4713236376	-47.0339165104	-54.4583212914	-52.7861925984	-51.3447196787	-14.3413225715	-48.8676749921	-41.7023257304
371449484_old.mp4	-13.5503617503	-9.42743305764	-33.0964807435	-28.2799960284	-26.9705398752	-30.0812828827	-21.9615057014	-31.6979771999	-29.2455062693	-25.8283903578	-15.5029403287	-23.6460936472	-21.1182844885
465872783_old.mp4	-14.9643923964	-3.24597307697	-44.7904216951	-38.3148792858	-36.8280601501	-44.8540494997	-36.4836958332	-39.3880618277	-37.7855802738	-34.4613091314	-20.6480920135	-30.954075054	-27.3371080101
417627194_old.mp4	-6.61058023208	3.45104781766	-52.7324223528	-46.0581014419	-45.169415869	-51.961732812	-45.1996121185	-48.254581207	-46.7116068084	-42.8739905748	-17.5987070818	-40.4079722638	-34.6416572005
501689627_old.mp4	-19.8660698362	-11.4446226311	-60.1467714436	-51.743124955	-50.7740904937	-60.2524891915	-51.7316703805	-55.0251176747	-51.9342521323	-45.1016753266	-24.4329870065	-50.3365723169	-45.4421649619
328646216_old.mp4	-23.8047323221	-10.8421755827	-57.5531778276	-51.0580458676	-50.1551438395	-58.6959305443	-52.3663915623	-50.1728602077	-46.8945036105	-44.9963642781	-20.4610689034	-42.4626644587	-31.3349896068
518806681_old.mp4	-13.1965741585	-3.70214441401	-38.4817875552	-30.0198707811	-28.767862758	-37.6954771791	-28.274372174	-25.7222059496	-25.7926630214	-21.5826552881	-19.5705970015	-30.0286933015	-7.74815904808
630217362_old.mp4	-18.5455092612	-12.1619486768	-41.5298283201	-29.9127601675	-29.0475651115	-41.7824573353	-28.3840181846	-37.8497486453	-37.3923048542	-30.7638844309	-21.7428385637	-30.8311243463	-14.655372465
412677059_old.mp4	-11.4573828238	3.3388839004	-51.496010138	-44.6108830172	-43.097172883	-51.6197217515	-43.9832882386	-44.6737921005	-42.4926051408	-38.1586994864	-17.5941261471	-36.0126756305	-29.6732741506
639885982_old.mp4	-9.5749582153	-0.394148018887	-41.8468414716	-33.7546989408	-32.5783269715	-41.3045490702	-32.4477520196	-35.7658299085	-32.8499503188	-28.9896381959	-17.1780094932	-27.7469505926	-22.2432818558
574532803_old.mp4	-11.5100504568	5.41610133277	-62.6427373921	-54.1688614752	-53.6810508647	-61.6770745213	-53.0864060028	-53.6672772496	-51.0870922502	-46.7238795447	-21.0847896678	-48.1552350113	-40.1599607544
524913770_old.mp4	-20.6649493887	-9.15727757591	-57.5034680989	-49.8642358008	-48.6263958336	-57.6698274993	-48.9909676048	-54.0554963064	-51.6525076278	-48.3166181856	-18.305155455	-45.8237847253	-39.3060694711
407290400_old.mp4	-22.1385697385	-8.36384983112	-63.5968134697	-57.2550172008	-56.5143355759	-64.2261698826	-57.258859691	-58.7143572991	-56.7821510982	-52.3423592607	-24.1394265387	-46.8234541372	-43.0495963239
348404815_old.mp4	-17.0898230238	-6.49354914561	-45.7562091071	-37.3909480056	-36.1279705381	-45.7486781891	-36.5860600548	-36.929096719	-35.5232002143	-31.34470196	-22.3406237142	-32.9077822617	-23.6393821656
VID_20160720_134151.mp4	-13.2693140467	-6.70491785448	-54.5527334713	-49.354723751	-48.1302314639	-53.5107755587	-46.8010933461	-50.6117028167	-49.5926180067	-46.4145821139	-19.6793260701	-43.2237202409	-42.2318542263
626707122_old.mp4	-16.8203587054	-8.40762666791	-54.0241193843	-42.8844023206	-41.2775467972	-54.0698503023	-41.8448695382	-49.1222234693	-47.2480625002	-43.8033290398	-18.3828610203	-38.8357659189	-31.5586712854
559829338_old.mp4	-9.85758192382	-0.807200993291	-40.3688799	-31.1827862492	-29.9809904693	-38.735740808	-28.0506832571	-32.3288753154	-30.993292804	-26.1244449086	-18.0692324171	-33.0991795532	-19.2725597297
