filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_medium	hevc_qsv_hw_faster	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_fast	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
555252407_old.mp4	45.0921219186	45.9592086627	118.750925742	81.1978257888	76.2264859832	152.44756155	75.4552233297	26.360087463	19.746736969	2.44557639435	29.1947350444	111.814837215	53.2480290517
418496749_old.mp4	29.7281300707	30.9511178021	161.404080967	73.6396589421	69.4071747004	267.602590415	101.886554977	59.6424474051	44.3391284726	10.4287064112	71.8461617141	248.01352297	143.101987516
543499635_old.mp4	14.6086536749	13.6317964798	93.0346086305	46.7090605205	44.9005356367	157.490156203	65.4121200157	41.4448639498	28.5926389023	5.16798940466	40.9093361745	145.476787833	79.3623522129
469053867_old.mp4	34.5984387551	31.6055174604	126.278562683	65.4190364208	63.3722092317	214.286483205	86.9925434016	48.5586000615	36.2289746714	6.89012017588	60.1407444722	230.26333402	132.351062907
VID_20160715_194255.mp4	17.2187444677	14.1505948674	105.255840836	53.9117684849	50.1748261087	201.760374137	74.439121238	34.4742091362	27.0006224265	1.25731549148	51.8345826179	203.870419092	119.123848008
547133225_old.mp4	41.234494649	33.0148831748	148.205910423	76.5160144384	71.1469691391	259.10036875	100.83877328	67.2610708326	49.8895017243	10.3294622957	74.8287174045	259.26157412	150.060680444
505770157_old.mp4	19.6100664287	16.7391209965	108.635065268	54.0503472937	52.4379806424	187.756301604	76.7066435377	36.9779820098	28.0463538312	5.01391260041	47.3583282074	161.209590589	87.3666972114
529661103_old.mp4	49.0001902107	48.4200914017	133.650284836	91.3321338016	89.7989784789	233.133475117	110.266313239	58.8097495397	42.8316106117	6.24278861911	66.7370915508	255.864503821	127.641507824
564336933_old.mp4	58.9717279482	53.1594122639	189.275056497	106.135173398	98.3326187948	299.99226591	120.492004875	72.6371812268	54.0023340348	14.7953197216	78.782396145	230.741358223	114.079061202
563587085_old.mp4	22.9340142464	20.9572043383	82.5104044122	48.2694814281	45.3166277392	146.236084656	63.6473570258	21.7008429735	17.8458805546	0.37094346813	41.8270221362	172.812453658	97.1683241433
359124590_old.mp4	15.6082128909	14.764328631	92.0940331986	48.0676348909	46.0036761123	165.38255721	72.2770860729	25.0552931673	17.0638479856	-2.50414161221	56.2020919032	186.505940735	113.738434044
VID_20160722_142835.mp4	23.9295543027	21.682044282	96.0874534836	54.1492385592	51.9438519179	148.834010043	71.0940594818	38.0774461994	27.7471070755	8.08382416258	44.1639542484	140.770522683	68.2869500739
403508241_old.mp4	17.2532821913	17.2212629891	95.0328728195	48.5467116608	45.2435026071	161.115956817	65.9941139677	29.2897621629	20.925476992	1.20717240978	47.6766331815	163.449676025	90.0557504912
380455893_old.mp4	15.3776360842	12.6465018875	101.477266205	42.8221107816	38.5240514489	158.854100681	54.4062252159	39.7623805661	27.6260088637	4.61611437705	55.1634953105	188.524693669	89.108063109
553482986_old.mp4	29.9580824256	27.2226926802	136.386404464	64.9357876601	61.3706367203	242.870974473	89.2590507483	48.0589325287	34.5583822938	5.25724019562	56.0225683861	220.222402572	125.709918749
407244002_old.mp4	19.9401896093	18.1533778253	121.135443864	52.2008013638	50.32042096	183.251852875	69.2279680868	26.8553356311	20.0633886594	2.02371043975	44.5696998841	154.220688233	88.1285623698
601955001_old.mp4	15.711956643	15.6140689536	84.6482217997	43.9255821212	42.7346553377	135.968313104	61.8348141412	28.9279025167	22.2100016507	4.53758565941	32.5967594547	113.353138099	61.1494841551
506145092_old.mp4	22.0855373273	21.1680282403	129.694890123	63.7287820177	60.8110659639	211.956284935	86.5954643914	51.1328135198	34.4869815286	5.89827271244	58.2003958104	221.954719766	120.450499246
570133587_old.mp4	25.9977243052	23.3504103582	116.311483655	58.2259236435	56.480448073	171.323499668	72.5288761091	35.9339922795	25.4501301592	7.37241978385	41.9339614326	126.432211088	62.4860463135
436258524_old.mp4	38.0692116712	39.7458874185	102.253538472	58.1103757282	56.7244952136	178.313564502	72.8872953673	30.7701293364	23.8799711026	6.57646631584	35.398691156	157.785724033	83.5575151816
