filename 	h264_qsv_medium	h264_qsv_veryfast	hevc_qsv_hw_medium	hevc_qsv_hw_faster	hevc_qsv_hw_veryfast	hevc_qsv_sw_medium	hevc_qsv_sw_veryfast	qy265_medium	qy265_fast	qy265_veryfast	x264_medium	x265_medium	x265_veryfast
523476808_old.mp4	7.40137402509	30.1409850998	-37.5909169654	-33.0412377756	-31.6219067938	-36.9527131773	-30.9806387722	-34.5407676695	-30.9929416093	-27.367704793	-7.34479960322	-32.8098289706	-26.8075086884
334449090_old.mp4	-9.91685907029	-0.568913266333	-44.610835678	-40.3676700533	-39.4428217378	-44.848681853	-39.2329726259	-37.3931222275	-34.7683283072	-31.2030165787	-9.2189897416	-30.5908854338	-28.2174984596
589014213_old.mp4	-6.50308789583	9.43485236115	-39.999784449	-31.3924866387	-30.2436605424	-40.4812942389	-30.654269366	-35.0509136678	-32.0230339519	-26.0504046173	-17.0321312341	-33.2460370859	-29.6383705362
431598674_old.mp4	-7.48408124474	9.57928065402	-38.9275543944	-32.1864368963	-31.1685547684	-39.2109041274	-31.4693532361	-36.7310301695	-34.7266388297	-29.302678674	-13.2510986655	-35.5932970249	-30.5498989457
370077987_old.mp4	-5.21939963899	8.2130091142	-34.88531467	-28.4943970427	-27.2214725745	-34.176915357	-26.7327782462	-33.3671157845	-30.9963895037	-27.7659997649	-17.8771318307	-29.7291042463	-26.0844476449
519086073_old.mp4	-10.4898368182	8.33925982752	-53.1115937789	-47.683789512	-46.8109367224	-52.8704054619	-46.1730694876	-47.1137533722	-45.4711477688	-41.9303008207	-16.8034028718	-43.9969239617	-38.3703224377
408356380_old.mp4	-13.3778116805	1.630925788	-67.7725977093	-63.047392551	-63.3449851733	-69.6006899031	-64.2660885342	-62.925902806	-56.2048636771	-45.9627757557	-18.6466880726	-61.2009064415	-63.8468494074
512089056_old.mp4	-19.5704419725	9.18862336332	-60.9836076939	-56.0118903147	-55.4513414681	-60.5409829297	-54.5210763117	-55.2780934578	-53.366997417	-49.3313578597	-24.4102548252	-50.0361335532	-45.7791727596
551532341_old.mp4	-0.397499838896	5.40269066218	-32.6322337009	-27.6270938816	-26.6580888207	-29.480580303	-23.4225214898	-25.5096866585	-22.9236667436	-17.1229423939	-10.1663065032	-27.5811527947	-13.535503297
626153833_old.mp4	-20.6389104617	-14.931006776	-51.0527771282	-39.7489756983	-38.2361481004	-50.4364915278	-38.0831400855	-50.5777888619	-46.2689576489	-38.3267980582	-11.3735820778	-39.6230447526	-34.8370845489
